epoch,loss,lr,test_loss
0,-0.6513200093483188,0.005944272445820433,-1.0418272676467895
1,-1.1380139134593845,0.01195046439628483,-1.1763874197006225
2,-1.2404319490354085,0.017956656346749228,-1.3234356565475465
3,-1.3203888111507769,0.023962848297213624,-1.3762807359695435
4,-1.361159290235067,0.02996904024767802,-1.3910237226486206
5,-1.3942424218679212,0.035975232198142415,-1.3344611835479736
6,-1.4103973010151656,0.04198142414860681,-1.4007695751190186
7,-1.4323622455301972,0.047987616099071206,-1.4404300603866578
8,-1.4603669729429423,0.0539938080495356,-1.463509066581726
9,-1.4631558939353706,0.06,-1.429591736793518
10,-1.4831508189132534,0.05999598326566646,-1.5156371688842774
11,-1.513272552146125,0.059983766364869406,-1.3834614362716675
12,-1.5213073959055634,0.05996335220173424,-1.5406127824783324
13,-1.5444537560964369,0.05993474635728933,-1.5485321168899535
14,-1.5497761780453712,0.05989795665208692,-1.5242522716522218
15,-1.5526579249765455,0.05985299314406508,-1.5650755157470704
16,-1.5751616561535708,0.05979986812579793,-1.582775959968567
17,-1.580594695720476,0.059738596121135024,-1.6051524391174317
18,-1.577046810966177,0.05966919388123063,-0.47115534698963163
19,-1.533567161904168,0.05959168037996418,-1.5764191884994507
20,-1.5689874494198672,0.05950607680875293,-1.5638244190216064
21,-1.5822180767649228,0.05941240657075852,-1.600079767227173
22,-1.60336656300063,0.059310695274488706,-1.6131728763580322
23,-1.614011639172269,0.05920097072679632,-1.6233801889419555
24,-1.6223498128124119,0.05908326292527712,-1.627254355430603
25,-1.6319353678791793,0.05895760405006872,-1.6410509901046753
26,-1.6364687816383912,0.0588240284550529,-1.6417246389389037
27,-1.6404317838629496,0.05868257265846361,-1.6440762195587157
28,-1.6458090801828915,0.0585332753329032,-1.646838903427124
29,-1.650030508483808,0.058376177294769765,-1.6522883195877076
30,-1.652433587103775,0.0582113214930983,-1.6527549600601197
31,-1.6473151285623766,0.058038752997818924,-1.6571039981842042
32,-1.658506424156661,0.057858518987435145,-1.6588552360534667
33,-1.664562751337425,0.05767066873612579,-1.6630735340118408
34,-1.6464851074612017,0.05747525360027389,-1.6132245378494263
35,-1.6545179074572534,0.05727232700442637,-1.6625130701065063
36,-1.6612108331365683,0.05706194442668833,-1.6247745695114135
37,-1.6610557602852891,0.05684416338355588,-1.667725998878479
38,-1.6670333540316709,0.05661904341419166,-1.5278484344482421
39,-1.6619547335142941,0.0563866460641475,-1.6674730281829835
40,-1.6754091769149624,0.056147034868538434,-1.6754633483886718
41,-1.6758725126994025,0.055900275334672817,-1.6792869453430175
42,-1.6647494933039872,0.05564643492414335,-1.6617625818252564
43,-1.6720038935081245,0.05538558303438367,-1.667466547012329
44,-1.6825462444541381,0.05511779097969587,-1.6888707656860351
45,-1.6815409402257389,0.05484313197175381,-1.680430112838745
