epoch,loss,lr,test_loss
0,-0.6767162751291216,0.005944272445820433,-1.072548285961151
1,-1.162859813454225,0.01195046439628483,-1.2473944292068482
2,-1.2667190942567648,0.017956656346749228,-1.335716402053833
3,-1.3354080153494765,0.023962848297213624,-1.3654311237335206
4,-1.3766911398504198,0.02996904024767802,-1.3588833789825439
5,-1.3869100735359585,0.035975232198142415,-1.4336586151123047
6,-1.4207987588705475,0.04198142414860681,-1.4341782455444336
7,-1.430212930305717,0.047987616099071206,-1.1998662347793578
8,-1.4379531280281617,0.0539938080495356,-1.4137072868347167
9,-1.4778265178818064,0.06,-1.5097005844116211
10,-1.4993796999921505,0.05999976765396864,-1.5285291957855225
11,-1.5194332575060658,0.059999060913265956,-1.5363671083450317
12,-1.5413777557844968,0.059997879763857245,-1.5421358366012574
13,-1.533125863861792,0.05999622422442134,-0.748474817276001
14,-1.4620493380064816,0.05999409432113914,-1.5289780902862549
15,-1.5406270715379224,0.059991490087693194,-1.5592804708480834
16,-1.5599681495391216,0.05998841156526715,-1.5333615474700928
17,-1.571685835258248,0.05998485880254513,-1.5922682313919068
18,-1.5854900264248406,0.059980831855710945,-1.5906988039016723
